time 1,PLA_1, time 2,PLA_2,time 3,PLA_3, time 4,PLA_4,time 5 ,PCL_1, time 6,PCL_2,time 7,PCL_3, time 8,PCL_4,time 9 ,PBA_1, time 10,PBA_2,time 11,PBA_3, time 12,PBA_4,time 13 ,Borosilicate_1, time 14,Borosilicate_2,time 15,Cellulose_1, time 16,Cellulose_2
102, 179018.5, 102, 242770.8, 102, 1151773.0, 102, 402216.6, 102, 426891.2, 102, 308137.9, 102, 200660.4, 102, 368486.4, 102, 276570.2, 102, 330299.9, 102, 266547.0, 102, 373420.5, 102, 276078.5, 102, 357376.9, 102, 411679.6, 102, 266479.4
104, 179012.5, 104, 242788.0, 104, 1151835.0, 104, 402257.9, 104, 426907.1, 104, 308111.2, 104, 200624.6, 104, 368439.2, 104, 276481.3, 104, 330277.9, 104, 266522.2, 104, 373415.8, 104, 276090.1, 104, 357379.5, 104, 411697.9, 104, 266466.4
106, 178956.9, 106, 242804.4, 106, 1151792.0, 106, 402213.4, 106, 426883.5, 106, 308146.2, 106, 200637.6, 106, 368483.4, 106, 276518.3, 106, 330285.5, 106, 266508.3, 106, 373432.2, 106, 276080.0, 106, 357387.4, 106, 411634.3, 106, 266498.6
108, 179014.7, 108, 242786.4, 108, 1151768.0, 108, 402308.5, 108, 426847.4, 108, 308118.2, 108, 200613.5, 108, 368424.5, 108, 276509.0, 108, 330234.5, 108, 266507.0, 108, 373396.0, 108, 276059.7, 108, 357435.6, 108, 411663.5, 108, 266438.6
110, 178946.4, 110, 242759.1, 110, 1151784.0, 110, 402204.9, 110, 426852.9, 110, 308108.3, 110, 200644.9, 110, 368409.4, 110, 276512.3, 110, 330243.3, 110, 266564.7, 110, 373421.8, 110, 276082.7, 110, 357395.9, 110, 411721.0, 110, 266482.9
112, 178967.9, 112, 242719.8, 112, 1151790.0, 112, 402195.5, 112, 426841.3, 112, 308161.1, 112, 200605.0, 112, 368436.5, 112, 276425.1, 112, 330228.5, 112, 266461.9, 112, 373371.5, 112, 276038.2, 112, 357339.0, 112, 411701.2, 112, 266456.3
114, 179059.2, 114, 242737.8, 114, 1151829.0, 114, 402230.4, 114, 426856.4, 114, 308066.7, 114, 200658.1, 114, 368424.9, 114, 276478.2, 114, 330230.3, 114, 266519.5, 114, 373400.0, 114, 276044.5, 114, 357367.5, 114, 411664.4, 114, 266451.6
116, 178993.6, 116, 242754.7, 116, 1151794.0, 116, 402227.6, 116, 426826.2, 116, 308093.5, 116, 200581.2, 116, 368384.6, 116, 276476.2, 116, 330225.2, 116, 266467.6, 116, 373398.4, 116, 276043.8, 116, 357313.3, 116, 411653.1, 116, 266446.5
118, 178990.2, 118, 242779.1, 118, 1151860.0, 118, 402213.6, 118, 426793.8, 118, 308071.8, 118, 200635.4, 118, 368446.0, 118, 276445.1, 118, 330207.1, 118, 266517.6, 118, 373407.3, 118, 276048.4, 118, 357321.1, 118, 411662.1, 118, 266506.3
120, 178933.7, 120, 242766.7, 120, 1151770.0, 120, 402226.6, 120, 426779.0, 120, 308089.5, 120, 200549.5, 120, 368411.0, 120, 276481.2, 120, 330205.5, 120, 266531.5, 120, 373360.3, 120, 276080.8, 120, 357305.3, 120, 411662.8, 120, 266436.9
122, 178934.7, 122, 242750.1, 122, 1151801.0, 122, 402215.2, 122, 426780.5, 122, 308081.3, 122, 200625.3, 122, 368402.3, 122, 276420.4, 122, 330227.4, 122, 266472.1, 122, 373404.4, 122, 276036.6, 122, 357335.3, 122, 411667.6, 122, 266475.6
